,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,
#,GovernmentSubsidiesForUnions,Subsidios do governo para Sindicatos,default,"Os sindicatos prestam um serviço vital para a nossa nação, e ele está nos interesses coletivos das pessoas que sejam encorajados e apoiados ao longo de todas as indústrias e locais de trabalho. Portanto, o governo deve fornecer financiamento, de tributação para apoiar suas atividades.",,19,12,4,8,ECONOMY,60,350,,2,0,0,,#Effects,"TradeUnionist,0+(0.25*x)","Capitalist,0-(0.12*x)","_global_socialism,0.024+(0.058*x),8","TradeUnionist_freq,0+(0.12*x),4","TradeUnionist_income,0+(0.09*x)","Wages,0+(0.04*x),4",,,
#,SecretCourts,Cortes Secretas,secretcourts,"Para combater o terrorismo moderno e crime, às vezes é necessário manter as coisas do público. Para isso, os tribunais secretos são estabelecidos e controlados por funcionários do governo para garantir que a lei é seguida e não quebrada. Não podemos efetivamente combater o terrorismo e a criminalidade grave, se os nossos métodos de serviços secretos ficam expostos em tribunais abertos.",,38,14,10,10,LAWANDORDER,30,100,,2,0,0,,#Effects,"Liberal,-0.1+(x^2)*-0.25","CrimeRate,-0.02+(x^0.7)*-0.07,4","_Terrorism,-0.03+(x^2)*-0.14,4","ForeignRelations,-0.05+(x^2)*-0.11,4","Organised Crime,-0.12*(x^4),2",,,,
#,GeneralMediaCensorship,Censura da Mídia,censorship,"Há momentos em que um público indignado prejudica no bem-estar de uma democracia. Permitir a censura da mídia pode prevenir maus rumores e especulação sobre perder o controle mesmo limitando os direitos civis, mas menos violência e medo deverão valer o esforço. Nós não desejamos dar a extremistas antissociais a liberdade de usar nossa mídia para provocar agitação. ",,35,12,12,12,LAWANDORDER,50,210,,1,0,0,,#Effects,"Liberal,-0.23*(x^2)","Conservatives,0+(0.09*x)","_Terrorism,0-(x*0.07),4",,,,,,
#,TortureUsageBySecretServices,Uso de Tortura Pelo Serviço Secreto,torturedevices,"Terroristas são pessoas difíceis de lidar e para prevenir ataques, medidas extraordinárias algumas vezes são necessárias. Enquanto nunca é 100% comprovado o quanto o crime e o terrorismo podem ser reduzidos a partir de tais políticas, faz sentido não lutar contra tais inimigos com uma mão amarrada às costas de nossos serviços de segurança? Bem, é preciso combater fogo com fogo.",,40,10,10,10,LAWANDORDER,30,100,,4,0,0,,#Effects,"Liberal,-0.10+(x^2)*-0.2","ForeignRelations,-0.02+(x^2)*-0.09","_Terrorism,-0.02+(x^2)*-0.10,4","Patriot,0.02+(x^0.5)*0.06","Conservatives,0.03+(x^0.5)*0.03","Organised Crime,-0.01+(x^4)*-0.12,2","ViolentCrimeRate,-0.11*(x^4),2",,
#,CapCEOPayMultiplier,Teto Salarial dos CEOS,ceopay,"Ninguém contesta que o trabalho de CEO de uma grande empresa é difícil, mas o nível atual de remuneração para executivos está fora de controle e está causando grande revolta entre os mais mal pagos. um limite para a remuneração do CEO é inteiramente razoável em uma sociedade justa e equitativa.",,25,16,9,9,ECONOMY,0,0,,2,0,0,,#Effects,"Capitalist,-0.18*(x+0.25)^3","Socialist,0.15*(x+0.39)^3","Wealthy_income,-0.21*(x+0.32)^4","CorporateExodus,+0.29*(x^3),4","Uncompetitive Economy,0.14*(x^2),4","BrainDrain,0.29*(x+0.1)^3,4","Equality,0.15*(x+0.2)^4","Wealthy,-0.32*(x^3)","_global_socialism,0.05*(x+0.23)^4,8"
#,BanSecondHomeOwnership,Proibir Posse de Segunda Casa,ban,"As leis da física ditam que uma pessoa pode ocupar apenas um lugar no mesmo tempo. Então por que pessoas precisam de duas moradias? Com essa política, ter mais de uma moradia é contra a lei e propriedades vazias serão confiscados pelo governo, aumentando consideravelmente a igualdade social e fornecendo uma boa moradia para muitas pessoas.",,28,10,9,9,WELFARE,5,12,,4,0,0,,#Effects,"Wealthy,-0.21*(x^0.5)","Capitalist,-0.11*(x^0.5)","Poor,0.08*(x^0.9)","PovertyRate,0-(x*0.06)","Socialist,0.07*(x^0.5)","Homelessness,-0.17*(x^0.5),4","Equality,0.08*(x^2)",,
#,Banprivateeducation,Proibição do Ensino Particular,ban,"Para ter certeza que as crianças da escola aprenderam a coisa certa e não são influenciados por idéias estranhas, proibir todas as escolas privadas de existir podem ser a coisa certa a fazer. Agora que não há mas as escolas de elite, toda criança tem agora a mesma oportunidade de aprender e se tornar algo grande, aumentando a igualdade no processo, como as crianças de todas as classes e níveis de renda misturam.",,32,14,10,10,PUBLICSERVICES,0,0,,4,0,0,,#Effects,"PrivateSchools,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.06*(x^0.5)","_global_socialism,0.06*(x^0.5),12","ClassWarfare,0-(0.10*x),8","Capitalist,-0.05-(0.12*x)","Wealthy,-0.04-(0.11*x)",,
#,Banprivatehealthcare,Proibição de saúde privada,ban,"Por que algumas pessoas gozam de melhor tratamento de saúde privado, enquanto outros têm que recorrer ao publico? Proibir a saúde privada vai se certificar de que ninguém recebe tratamento especial. A saúde de ninguém deve ser determinado pelo tamanho de seu saldo bancário.",,32,14,10,10,PUBLICSERVICES,0,0,,4,0,0,,#Effects,"PrivateHealthcare,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.07*(x^0.5)","_global_socialism,0.06*(x^0.5),12","Capitalist,-0.11*(x^0.5)","Wealthy,-0.05-(0.13*x)",,,
#,Tradeunionbansatcompanies,Restrições Sindicais,unionban,"As empresas enfrentam uma série de desafios em nossos tempos modernos. Sindicatos frequentemente acrescentar a estes desafios com suas demandas e necessidades, por isso a proibição dessas organizações vai ajudar o foco da gestão em tornar a empresa competitiva e maximizar os lucros. É claro que os trabalhadores ainda têm os seus direitos, eles só têm a ganhar-lhes, sem o apoio de uma instituição de desperdício.",,32,13,15,15,ECONOMY,0,0,,4,0,0,,#Effects,"TradeUnionist,-0.04-(0.32*x)","Capitalist,0.02+(0.07*x)","WorkerProductivity,0.01+(0.07*x),4","_global_socialism,0+(x*-0.10),8","TradeUnionist_freq,-0.1-(x*0.98)^2,4","WorkingWeek,0.12*(x^2),4","Wages,0-(0.07*x),4",,
#,Compulsoryworkfortheunemployed ,Trabalho obrigatório para os desempregados,workforunemployed,"Aos desempregados que recebem auxilio do governo, agora tem que fazer algum trabalho semanal ou ter corte de pagamento de seus benefícios. Isso inclui embelezamento público, recolher lixo e outras tarefas. O objetivo é fazer uso dessa grande força de trabalho e levar as pessoas de volta para a rotina de trabalho, espero que lhes consigam um emprego em breve. Ninguém deve esperar viver no estado sem trabalhar.",,25,16,12,12,WELFARE,25,110,,4,0,0,,#Effects,"Poor,-0.12*(x^Unemployment)","Socialist,-0.12*(x^0.5)","GDP,0.03*(x^0.5),4","MiddleIncome,0.02+(x*0.05),4","Capitalist,0.03+(x*0.06)","Unemployment,0-(0.05*x),7",,,
