,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,AdultEducationSubsidies,Subsidios Educacao de Adultos,default,Subsidios de educacao de adultos sao uma forma de incentivar as pessoas a voltar a treinar e continuar a sua educacao depois que eles passaram a integrar a forca de trabalho. Isto inclui aulas noturnas e os recursos de ensino a distancia. Estes esquemas de contribuir para elevar o nivel geral de ensino da forca de trabalho.,,12,18,7,7,PUBLICSERVICES,160,300,,2,0,0,,#Effects,"Education,0.04+(0.04*x),4","WorkerProductivity,0.02+(0.02*x),4",,,,,,,,,
#,AgricultureSubsidies,Subsidios Agriculas,default,"Por razoes estrategicas, alguns governos estao dispostos a pagar os subsidios aos agricultores para garantir a seguranca do abastecimento alimentar da nacao. Isso vai contra a economia de livre inciativa e tambem pode ser muito caro, mas faz trabalhos de salvaguarda (e votos) nas comunidades agricolas.",,15,24,10,10,ECONOMY,120,2800,,4,0,0,,#Effects,"Capitalist,0.00-(0.08*x)","Unemployment,0.00-(0.17*x)","Farmers,0.10+(0.50*x)","Farmers_freq,0.02+(0.18*x),4","Farmers_income,0+(0.35*x)","Health,0-(0.04*x),4",,,,,
#,AirlineTax,Imposto de Companhia Aerea,tax,"Combustivel de companhias aereas geralmente nao tem sido objecto de tributacao. Partidarios de impostos sobre os combustiveis ar insistem que isso resulta em um subsidio injusto em uma forma ambientalmente destrutivo de transporte. As companhias aereas apontam que a tributacao do combustivel de aviao so vai incentiva-los a reabastecer em outros lugares, assim, desviar fundos da nossa economia.",,28,15,13,7,TAX,0,0,,1,115,7015,"AirTravel,0+(1.0*x)",#Effects,"Capitalist,0.00-(0.06*x)","Environmentalist,0.05+(0.10*x)","GDP,0.00-(0.05*x),2","AirTravel,0-(0.3*x),4","_MiddleIncome,0-(0.02*x)",,,,,,
#,AlcoholLaw,Lei do Alcool,alcohollaw,"Ha ampla evidencia de que o consumo excessivo de alcool pode levar a problemas de saude e ate mesmo a morte prematura. No entanto, algumas pessoas se opoem ao estado interferir no direito do individuo escolher o que beber. Ha tambem a complicacao de que o governo pode fazer um monte de dinheiro atraves de impostos sobre o alcool.",UNCANCELLABLE,21,12,13,9,LAWANDORDER,0,0,,1,0,0,,#Effects,"Liberal,0.20-(0.40*x)","AlcoholConsumption,0.5-(1.0*x),4",,"ViolentCrimeRate,0.05-(0.11*x)","Young,-0.2*(x^2)",,,,,,
#,AlcoholTax,Imposto de Alcool,tax,"Clinicamente ha um caso claro para o governo tributar o alcool, a fim de desencorajar o consumo por causa de seus efeitos negativos sobre a saude e as suas possiveis ligacoes com o colapso social. Por outro lado, aqueles que bebem socialmente veem o governo a beneficia-se de um tal imposto a ser hipocrita.",,30,9,9,4,TAX,0,0,,1,0,8050,"AlcoholConsumption,0+(1.0*x)",#Effects,"Poor,0-(0.2*x)","PovertyRate,0+(0.2*x)","Equality,0-(0.1*x)","AlcoholConsumption,0-(0.4*x),2",,,,,,,
#,ArmedPolice,Policia Armada,armedpolice,Policiais Armados podem ser uma estrategia eficaz para dissuadir o crime e manter a ordem. Os opositores argumentam que ela encoraja os criminosos a usar armas de fogo em uma corrida armamentista penal. Os criticos tambem temem que armar a policia vai afasta-los dos cidadaos cumpridores da lei.,,50,48,10,19,LAWANDORDER,300,960,,3,0,0,,#Effects,"Liberal,-0.05-(0.25*x)","CrimeRate,-0.10-(0.10*x)","ViolentCrimeRate,0.00-(0.20*x)",,"_security_,(0.025+0.035*x)",,,,,,
#,BanSundayShopping,Proibir Compras aos Domingos,default,"A religiao crista em geral, reconhece a 'Sabbath' como um dia de descanso e muitas pessoas religiosas acreditam que nao deve haver compras realizadas no mesmo dia. Alguns sindicatos tambem acreditam que um dia de descanso forcado impede seus membros a ser explorado.",,36,21,15,10,ECONOMY,0,0,,1,0,0,,#Effects,"Religious,0.12+(0*x)","Liberal,-0.08+(0*x)","GDP,-0.02+(0*x)","TradeUnionist,0.06+(0*x)",,,,,,,
#,BiofuelSubsidies,Subsidios Biocombustivel,default,"Os biocombustiveis podem reduzir a demanda de petroleo, atraves da mistura de etanol derivado do milho com o combustivel petro-quimico. Isso geralmente e popular entre os ambientalistas. Os agricultores que ganham dinheiro produzindo milho para o uso de biocombustiveis tambem se beneficiam. Biocombustiveis com uma mistura maior de etanol pode ser subsidiado atraves de incentivos fiscais.",,10,16,7,8,TRANSPORT,5,700,"CarUsage,0+(1.0*x)",2,0,0,,#Effects,"OilDemand,0-(0.12*x),8","Environmentalist,0.02+(0.06*x)","Farmers,0.05+(0.10*x),4","Motorist,0.02+(0.02*x)","Farmers_freq,0.02+(0.05*x),4","Farmers_income,0+(0.09*x)",,,,,
#,BorderControls,Controle de Fronteira,bordercontrols,"Sem algum tipo de controle alfandegario nas fronteiras, o seu pais esta aberto para o problema da imigracao ilegal em massa. Algumas pessoas argumentam que esses imigrantes causam crime, outros que eles tiram o emprego dos seus proprios cidadaos. Os controles nas fronteiras podem ser eficazes na reducao da imigracao ilegal.",UNCANCELLABLE,25,25,18,13,FOREIGNPOLICY,10,280,,1,0,0,,#Effects,"Patriot,0+(0.30*x)","Liberal,0-(0.225*x)","Immigration,0-(0.8*x),2","_Terrorism,0-(0.1*x)","EthnicMinorities,0.00-(0.42*x)",,,,,,
#,BusLanes,Linhas de Onibus,default,"Deixando de lado as pistas especificas de uma estrada para uso somente por onibus (e talvez taxis e motos) e uma forma de obter o trafego que flui mais rapido e evitar o congestionamento. Ele tambem reduz o tempo de viagem para o transporte publico e, portanto, incentiva o uso. Existem custos visiveis envolvidos na criacao de tais regimes, e os motoristas podem ficar irritados se os corredores de onibus parecem vazias, enquanto eles permanecem presos no transito.",,10,10,7,4,TRANSPORT,100,220,,2,0,0,,#Effects,"Commuter,0.05+(0.17*x)","Motorist,0.00-(0.25*x)","BusUsage,0.05+(0.2*x),2",,,,,,,,
