,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,AdultEducationSubsidies,Subsídios Educação de Adultos,default,Subsídios de educação de adultos são uma forma de incentivar as pessoas a voltar a treinar e continuar a sua educação depois que eles passaram a integrar a força de trabalho. Isto inclui aulas noturnas e os recursos de ensino à distância. Estes esquemas de contribuir para elevar o nível geral de ensino da força de trabalho.,,12,18,7,7,PUBLICSERVICES,160,300,,2,0,0,,#Effects,"Education,0.04+(0.04*x),4","WorkerProductivity,0.02+(0.02*x),4",,,,,,,,,
#,AgricultureSubsidies,Subsídios Agrículas,default,"Por razões estratégicas, alguns governos estão dispostos a pagar os subsídios aos agricultores para garantir a segurança do abastecimento alimentar da nação. Isso vai contra a economia de livre inciativa e também pode ser muito caro, mas faz trabalhos de salvaguarda (e votos) nas comunidades agrícolas.",,15,24,10,10,ECONOMY,120,2800,,4,0,0,,#Effects,"Capitalist,0.00-(0.08*x)","Unemployment,0.00-(0.17*x)","Farmers,0.10+(0.50*x)","Farmers_freq,0.02+(0.18*x),4","Farmers_income,0+(0.35*x)","Health,0-(0.04*x),4",,,,,
#,AirlineTax,Imposto de Companhia Aérea,tax,"Combustível de companhias aéreas geralmente não tem sido objecto de tributação. Partidários de impostos sobre os combustíveis ar insistem que isso resulta em um subsídio injusto em uma forma ambientalmente destrutivo de transporte. As companhias aéreas apontam que a tributação do combustível de avião só vai incentivá-los a reabastecer em outros lugares, assim, desviar fundos da nossa economia.",,28,15,13,7,TAX,0,0,,1,115,7015,"AirTravel,0+(1.0*x)",#Effects,"Capitalist,0.00-(0.06*x)","Environmentalist,0.05+(0.10*x)","GDP,0.00-(0.05*x),2","AirTravel,0-(0.3*x),4","_MiddleIncome,0-(0.02*x)",,,,,,
#,AlcoholLaw,Lei do Alcool,alcohollaw,"Há ampla evidência de que o consumo excessivo de álcool pode levar a problemas de saúde e até mesmo a morte prematura. No entanto, algumas pessoas se opõem ao estado interferir no direito do indivíduo escolher o que beber. Há também a complicação de que o governo pode fazer um monte de dinheiro através de impostos sobre o álcool.",UNCANCELLABLE,21,12,13,9,LAWANDORDER,0,0,,1,0,0,,#Effects,"Liberal,0.20-(0.40*x)","AlcoholConsumption,0.5-(1.0*x),4",,"ViolentCrimeRate,0.05-(0.11*x)","Young,-0.2*(x^2)",,,,,,
#,AlcoholTax,Imposto de Álcool,tax,"Clinicamente há um caso claro para o governo tributar o álcool, a fim de desencorajar o consumo por causa de seus efeitos negativos sobre a saúde e as suas possíveis ligações com o colapso social. Por outro lado, aqueles que bebem socialmente vêem o governo a beneficia-se de um tal imposto a ser hipócrita.",,30,9,9,4,TAX,0,0,,1,0,8050,"AlcoholConsumption,0+(1.0*x)",#Effects,"Poor,0-(0.2*x)","PovertyRate,0+(0.2*x)","Equality,0-(0.1*x)","AlcoholConsumption,0-(0.4*x),2",,,,,,,
#,ArmedPolice,Polícia Armada,armedpolice,Policiais Armados podem ser uma estratégia eficaz para dissuadir o crime e manter a ordem. Os opositores argumentam que ela encoraja os criminosos a usar armas de fogo em uma corrida armamentista penal. Os críticos também temem que armar a polícia vai afastá-los dos cidadãos cumpridores da lei.,,50,48,10,19,LAWANDORDER,300,960,,3,0,0,,#Effects,"Liberal,-0.05-(0.25*x)","CrimeRate,-0.10-(0.10*x)","ViolentCrimeRate,0.00-(0.20*x)",,"_security_,(0.025+0.035*x)",,,,,,
#,BanSundayShopping,Proibir Compras aos Domingos,default,"A religião cristã em geral, reconhece a 'Sabbath' como um dia de descanso e muitas pessoas religiosas acreditam que não deve haver compras realizadas no mesmo dia. Alguns sindicatos também acreditam que um dia de descanso forçado impede seus membros a ser explorado.",,36,21,15,10,ECONOMY,0,0,,1,0,0,,#Effects,"Religious,0.12+(0*x)","Liberal,-0.08+(0*x)","GDP,-0.02+(0*x)","TradeUnionist,0.06+(0*x)",,,,,,,
#,BiofuelSubsidies,Subsídios Biocombustível,default,"Os biocombustíveis podem reduzir a demanda de petróleo, através da mistura de etanol derivado do milho com o combustível petro-químico. Isso geralmente é popular entre os ambientalistas. Os agricultores que ganham dinheiro produzindo milho para o uso de biocombustíveis também se beneficiam. Biocombustíveis com uma mistura maior de etanol pode ser subsidiado através de incentivos fiscais.",,10,16,7,8,TRANSPORT,5,700,"CarUsage,0+(1.0*x)",2,0,0,,#Effects,"OilDemand,0-(0.12*x),8","Environmentalist,0.02+(0.06*x)","Farmers,0.05+(0.10*x),4","Motorist,0.02+(0.02*x)","Farmers_freq,0.02+(0.05*x),4","Farmers_income,0+(0.09*x)",,,,,
#,BorderControls,Controle de Fronteira,bordercontrols,"Sem algum tipo de controle alfandegário nas fronteiras, o seu país está aberto para o problema da imigração ilegal em massa. Algumas pessoas argumentam que esses imigrantes causam crime, outros que eles tiram o emprego dos seus próprios cidadãos. Os controles nas fronteiras podem ser eficazes na redução da imigração ilegal.",UNCANCELLABLE,25,25,18,13,FOREIGNPOLICY,10,280,,1,0,0,,#Effects,"Patriot,0+(0.30*x)","Liberal,0-(0.225*x)","Immigration,0-(0.8*x),2","_Terrorism,0-(0.1*x)","EthnicMinorities,0.00-(0.42*x)",,,,,,
#,BusLanes,Linhas de Ônibus,default,"Deixando de lado as pistas específicas de uma estrada para uso somente por ônibus (e talvez táxis e motos) é uma forma de obter o tráfego que flui mais rápido e evitar o congestionamento. Ele também reduz o tempo de viagem para o transporte público e, portanto, incentiva o uso. Existem custos visíveis envolvidos na criação de tais regimes, e os motoristas podem ficar irritados se os corredores de ônibus parecem vazias, enquanto eles permanecem presos no trânsito.",,10,10,7,4,TRANSPORT,100,220,,2,0,0,,#Effects,"Commuter,0.05+(0.17*x)","Motorist,0.00-(0.25*x)","BusUsage,0.05+(0.2*x),2",,,,,,,,
