token,name,type,guiname,leave_approval,join_approval,requiremilitancy,base threat,low threat,medium,high,required,radicalisationrate,de-radical rate,groups,,
#,WildlifeTrust,PROTEST,The Wildlife Trust,0.7,0.35,0.5,0.4,Os membros da 'Wildlife trust' estão falando mal do governo na internet, The Wildlife trust estão fazendo campanha ativamente contra a política do governo,"The Wildlife trust têm chamado para o governo a reverter suas políticas, e oficialmente apoiam a oposição",Environmentalist,0,0,"Environmentalist,0.75","MiddleIncome,0.3",
#,HeritageSociety,PROTEST,A Sociedade da Herança,0.7,0.35,0.5,0.8,O Sociedade da Herança tem criticado o governo em seu jornal,O Sociedade da Herança têm descrito as políticas do governo como uma desgraça e incitam seus membros para não apoiá-lo.,"O Sociedade da Herança foram enviar grandes petições ao governo, criticando as suas políticas atuais.",Wealthy,0,0,"Wealthy,0.6","Retired,0.35",
#,TheChurchOfChrist,PROTEST,A Igreja de Cristo,0.7,0.35,0.5,0.6,A Igreja de Cristo tem expressado consternação com as políticas do governo.,A Igreja de Cristo estão realizando reuniões na câmara municipal para expressar sua raiva contra o governo atual.,A Igreja de Cristo está pregando ativamente a todos os membros a se opor ao governo e apoiar a oposição.,Religious,0.07,35,"Religious,1.0",,
#,HumanRightsSociety,PROTEST,A Sociedade dos Direitos Humanos,0.7,0.35,0.5,0.4,A Sociedade de Direitos Humanos tem criticado a política do governo no rádio.,A Sociedade de Direitos Humanos diz que incentivar ativamente aos seus membros a se opor ao governo atual.,A Sociedade de Direitos Humanos está ameaçando de ação direta para mostrar que é oposição ao atual governo.,Liberal,0.04,35,"Liberal,0.5","MiddleIncome,0.5",
#,TheCommunistParty,PROTEST,O Partido Comunista,0.7,0.35,0.5,1,O Partido Comunista tem criticado fortemente as políticas do atual governo.,O Partido Comunista declarou que o governo é ilegítimo e incitou os apoiadores para se opõem a ela em todos os sentidos.,O Partido Comunista está pedindo ativamente aos seus membros a tomar medidas não-violenta contra as políticas do governo.,Socialist,0.14,0.07,"Socialist,0.7","Poor,0.2","TradeUnionist,0.1"
#,TraditionalValuesAlliance,PROTEST,Aliança dos Valores Tradicionais,0.7,0.35,0.4,0.4,A Aliança dos Valores Tradicionais se manifestaram fortemente contra a política do governo.,A Aliança dos Valores Tradicionais está montando uma campanha online contra o governo.,A Aliança dos Valores Tradicionais diz que vai se opor a política do governo por todos os meios em que tem a disposição.,Conservatives,0.07,35,"Conservatives,1.0",,
#,ThePatriotParty,PROTEST,O Partido Patriota,0.7,0.35,0.4,1,Membros do 'Partido Patriota' estão criticando a política do governo em seus folhetos.,O Partido Patriota já avisou que irá interromper reuniões do governo e eventos para fazer a sua oposição sentida. ,O Partido Patriota se recusou a descartar a ação física direta contra o governo atual.,Patriot,0.11375,0.056875,"Patriot,0.75","Poor,0.25",
#,FriendsOfThePlanet,PROTEST,Amigos do Planeta,0.7,0.35,0.3,0.8,Os 'Amigos do Planeta' estão criticando as políticas do governo em fóruns online. ,Os Amigos do Planeta têm alertado que é dever dos seus membros a 'luta contra a política do governo em todos os níveis'.,Os Amigos do Planeta têm organizado protestos nas casas dos funcionários do governo.,Environmentalist,105,0.0525,"Environmentalist,0.75","Poor,0.25",
#,EqualityNow,PROTEST,Igualdade Já!,0.7,0.35,0.5,0.6,Membros 'Igualdade Já' pediram ao governo para mudar a sua política em muitas áreas.,'Igualdade Já' está realizando uma grande campanha on-line incentivando as pessoas a se opor a política do governo.,"'Igualdade Já' se comprometeram a defender os direitos dos cidadãos por parte do governo, e de combater a 'força com força'. ",EthnicMinorities,0.0875,0.04375,"EthnicMinorities,0.75","Poor,0.25",
#,BusinessFirst,PROTEST,Negócios Primeiro,0.7,0.35,0.3,0.6,'Negócios Primeiro' aconselhou muitos de seus membros para descontinuar o suporte para o atual governo.,"'Negócios Primeiro', alertou que a política do governo atual coloca em rota de colisão perigosa com os objectivos das grandes empresas.",'Negócios Primeiro' já avisou que não vai ficar parado e permitir que o governo para destruir a comunidade empresarial por mais tempo.,Capitalist,0.0875,0.04375,"Wealthy,0.4","Capitalist,0.4","SelfEmployed,0.2"
#,FarmersSociety,PROTEST,Sociedade dos Agricultores,0.7,0.35,0.3,0.6,A Sociedade Agricultores criticou abertamente a política do governo em questões rurais.,A Sociedade Agricultores têm alertado que eles vão resistir a ataques à vida rural por todos os meios à sua disposição.,A Sociedade Agricultores alertam o governo que muitos agricultores e cidadãos rurais sentem que têm nada a perder quando se trata de combater o governo.,Farmers,0.07875,0.039375,"Poor,0.25","Farmers,0.75",
