,,,,zone,def,min,max,emotion,icon,,,,,,,,,,,,,
#,Health,Saúde,"Um indicador geral para a saúde dos seus cidadãos, que não mede tempo de vida apenas, mas também de fitness e bem-estar geral das pessoas.",PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_health.dds,#,#,"Retired_freq,-0.2+(0.4*x),8","WorkerProductivity,-0.15+(0.15*x)","Immigration,0.1*(x^6)",,,,,,,,
#,Education,Educação,"A medição do nível de educação do cidadão comum. Não só a alfabetização, mas noções de matemática e compreensão geral de tudo, desde a história de TI e ciência.",PUBLICSERVICES,0.18,0,1,HIGHGOOD,icons_education.dds,#,#,"WorkerProductivity,-0.2+(x*0.4)","RacialTension,0-(0.08*x)","CrimeRate,-0.12*(x^6)","ViolentCrimeRate,-0.12*(x^4)",,,,,,,
#,CrimeRate,Crime,"Um indicador geral do nível de crimes não violentos em sua nação. Isso inclui crimes como crime carro, roubo etc, mas também abrange a fraude e outros crimes semelhantes.",LAWANDORDER,0.55,0,1,HIGHBAD,icons_crimerate.dds,#,#,"_All_,0-(0.13*x)","GDP,0-(0.08*x)",,,,,,,,,
#,ViolentCrimeRate,Crime vIolento,"Um indicador mais preocupante do que o nível geral de crime, este mede a freqüência de crimes violentos, como assassinato, estupro e assaltos. O crime violento é uma preocupação para todos no país.",LAWANDORDER,0.57,0,1,HIGHBAD,icons_violentcrimerate.dds,#,#,"_All_,0-(0.16*x)","Retired,0-(0.18*x)","_global_liberalism,0.05-(0.1*x)",,,,,,,,
#,PovertyRate,Pobreza,"Uma das mais utilizadas medidas de comparação entre as nações. O nível de pobreza é periodicamente reavaliado, mas todas as nações devem se esforçar para obter a sua taxa de pobreza mais baixa possível.",WELFARE,0.64,0,1,HIGHBAD,icons_povertyrate.dds,#,#,"Poor,0.3-(x^2)","CrimeRate,0+(0.2*x),2","RacialTension,0+(0.22*x),2","_global_socialism,0.2*(x^5)","Socialist,-0.35*(x^2)",,,,,,
#,Equality,Igualdade,"Há muitas maneiras de medir a igualdade. Conservadores falar de igualdade de oportunidades, os socialistas falam de igualdade de resultados. Esta é apenas uma simples medição da distribuição de riqueza (igualdade financeira do resultado).",WELFARE,0.4,0,1,HIGHGOOD,icons_equality.dds,#,#,"Socialist,-0.2+(0.4*x)","CrimeRate,-0.32*(x^4)",,,,,,,,,
#,Environment,O Meio Ambiente,"Uma medida geral da qualidade do meio ambiente, incluindo a qualidade do ar, mas também medir a poluição sonora, lixo, qualidade da água e muitas outras medidas de poluição.",PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_environment.dds,#,#,"Environmentalist,-0.4+(0.8*x)",,,,,,,,,,
#,WorkingWeek,Semana de Trabalho,"O número de horas trabalhadas, em média, os seus cidadãos em uma semana. Em uma economia flutuante, pode variar a partir das horas contratadas como as pessoas dão para a pressão de trabalhar horas extras não pagas ou pagas para manter seus empregos. Para os funcionários, a redução de horário são vistos como uma coisa boa.",ECONOMY,0.5,0,1,UNKNOWN,icons_workingweek.dds,#,#,"TradeUnionist,0.1-(0.1*x)","Health,-0.24*(x^8)",,,,,,,,,
#,Technology,Tecnologia,"Um índice geral do nível de sofisticação tecnológica do país, incluindo a percentagem de cidadãos com acesso à internet e banda larga de alta velocidade, bem como a compreensão tecnológica dos alunos e as capacidades da indústria. Um índice de alta tecnologia aumenta a competitividade internacional. Os incentivos fiscais podem ser obrigados a atrair a indústria de alta tecnologia.",ECONOMY,0.5,0,1,HIGHGOOD,icons_Technology.dds,#,#,"WorkerProductivity,0.15*(x^4)","Education,-0.1+(0.16*x)","Unemployment,0.2*(x^8),2","Retired_freq,0.10*(x^4),16",,,,,,,
#,CarUsage,Uso de carro,"Uma medida de quantos quilômetros por ano, o agregado familiar médio de viajem de carro. Uso do automóvel alta pode causar poluição, mas é inevitável em uma economia em expansão com a má prestação de transportes públicos.",TRANSPORT,0.6,0,1,UNKNOWN,icons_carusage.dds,#,"GDP,0+(0.4 * x)",#,"Environment,0-(0.22*x)","Motorist_freq,-0.4+(0.8*x)","CO2Emissions,0+(0.5*x)","OilDemand,0+(0.3*x)",,,,,,
#,RailUsage,Uso Ferroviário,"A medida da quantidade de viagens que ocorrem por via férrea. Os defensores do transporte público vão olhar para alta do uso do transporte ferroviário, a fim de reduzir tanto o congestionamento do tráfego e também a poluição. As viagens de trem pode ser muito eficiente em países altamente povoadas, mas as melhorias na infra-estrutura ferroviária pode ser extremamente caro e levar um longo tempo.",TRANSPORT,0.25,0,1,UNKNOWN,icons_railusage.dds,,"GDP,0+(0.1 * x)",#,"CarUsage,0-(0.35*x)","BusUsage,0-(0.25*x)","OilDemand,0+(0.12*x)",,,,,,,
#,BusUsage,Uso do Ônibus,"A medida da quantidade de viagens que são levados de ônibus, ao contrário de carro, aéreo ou ferroviário. Os ônibus são mais amigos do ambiente do que os carros, por isso, são vistos como uma forma de reduzir a poluição, bem como reduzir o congestionamento do tráfego.",TRANSPORT,0.15,0,1,UNKNOWN,icons_bususage.dds,,"GDP,0+(0.1 * x)",#,"CarUsage,0-(0.35*x)","RailUsage,0-(0.28*x)","OilDemand,0+(0.13*x)",,,,,,,
#,WorkerProductivity,Produtividade,"A produção média, em termos financeiros de um cidadão típico. Algumas nações têm funcionários mais produtivos do que outros, devido a fatores como a ética de trabalho, conhecimento técnico e horas de trabalho.",ECONOMY,0.5,0,1,HIGHGOOD,icons_workerproductivity.dds,#,#,"GDP,-0.22+(x*0.44)","InternationalTrade,-0.2+(0.4*x),4",,,,,,,,,
#,Unemployment,Desemprego,"Na sua forma mais simples esta é uma contagem do percentual de sua população, que não exerçam uma actividade remunerada. Ajustado para omitir os cidadãos que não estão procurando ativamente trabalho por uma razão ou outra.",ECONOMY,0.4,0,1,HIGHBAD,icons_unemployment.dds,#,#,"WorkingWeek,0+(0.2*x)","TradeUnionist,0-(0.21*x)","Commuter_freq,0-(0.28*x)","RacialTension,0.7*(x^3),2","PovertyRate,0.24*(x^8)","CrimeRate,0.17*(x^8)","WorkerProductivity,-0.215+(x*0.3)","Wages,0.2-(0.4*x)","Poor,-0.10*(x^2)","Immigration,-0.2*(x^2)+0.05","Socialist,-0.2*(x^4)"
#,CO2Emissions,Emissões de CO2,"Quantidade de carbono que colocamos na atmosfera. Ambientalistas e a maioria dos cientistas concordam que a limitação nossas emissões de CO2 é um passo vital que devemos tomar para combater a mudança climática. Deixar de controlar nossas emissões pode diminuir a nossa posição internacional e afetar as relações exteriores. Uma economia em expansão, se não for controlada, vai produzir mais carbono, como altos níveis produzidos pelo carro e viagens de avião. Há uma vasta gama de diferentes estratégias que podem ser empregadas para minimizar o nível de emissões de CO2. ",ECONOMY,0.2,0,1,HIGHBAD,icons_co2.dds,#,#,"ForeignRelations,0-(0.1*x)","Environmentalist,0.1+(x^2)*-0.7",,,,,,,,,
#,AirTravel,Viagens Aéreas,"As viagens aéreas é muitas vezes fortemente ligada à economia de um país e, portanto, do PIB. Cidadãos mais ricos tiram mais férias no estrangeiros, e uma economia mais rica vai significar mais viagens aéreas de negócios, e mais produtos enviados por via aérea. A quantidade de viagens aéreas é muito sensível ao preço, de modo que as mudanças nos custos de combustível, impostos e outros encargos podem ter um efeito importante.",TRANSPORT,0,0,1,UNKNOWN,icons_airtravel.dds,#,#,"CO2Emissions,0.32*(x^2)","OilDemand,0+(0.1*x)","Environment,-0.14*(x^3)","RailUsage,0-(0.04*x)",,,,,,,
