,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,
#,SkillsShortage,Escassez de Mao de Obra Qualificada,As empresas dizem que eles simplesmente nao conseguem encontrar numero suficiente de pessoas qualificadas e treinadas para empregar. A economia moderna e cada vez mais baseada em habilidades e nossos cidadaos simplesmente nao sao educados o suficiente para tomar o seu lugar no mercado de trabalho moderno. Isso vai ter um impacto negativo sobre a economia.,ECONOMY,sit_icons_skillsshortage.dds,Os lideres empresariais tem reclamado que nos simplesmente nao temos o suficiente trabalhadores altamente qualificados para preencher vagas de emprego. ,Os lideres empresariais informar que nao ha mais escassez de competencias perceptivel na economia. Os nossos cidadaos estao agora suficientemente educados e treinados para atender as necessidades das economias.,0,0.6,0.4,0,0,"_default_,0.75","Education,0-(0.4*x)","AdultEducationSubsidies,0-(0.2*x),8","UniversityGrants,0-(0.2*x)","Immigration,0-(0.2*x)","Technology,0.25*(x^2)",#,"GDP,-0.14-(0.15*x)",,,,,,
#,Pollution,Poluicao,"Sem medidas suficientes para regular o que e bombeado para o ar, nos acabamos com altos niveis de poluicao. Isso afeta os nossos niveis de saude e qualidade de vida. Nao surpreende que os ambientalistas sao especialmente chateado.",ECONOMY,sit_icons_pollution.dds, Temos um serio problema de poluicao. Isso pode levar a problemas de saude.,"Especialistas em meio ambiente dizem que problema de poluicao do pais esta sob controle, os nossos cidadaos nao precisam mais usar mascaras quando andar de bicicleta para o trabalho!",0,0.6,0.4,500,0,"Environment,1.0-(1.0*x)",#,"Environmentalist,-0.1-(0.3*x)","Health,-0.1-(0.2*x)","Environmentalist_freq,0.1+(0.1*x)",,,,,,,,,
#,Uncompetitive Economy,Economia nao competitiva,"Nossos trabalhadores nao dispoem de produtividade relativa e a competitividade esta fazendo com que nossas exportacoes a cair e inundar nosso pais com as importacoes baratas feitas no exterior, com salarios mais baixos, mais mao de obra e mais funcionarios com experientes em tecnologia. Isto esta a ter um efeito negativo sobre a nossa economia, as nossas empresas locais nao podem competir globalmente.",ECONOMY,sit_icons_uncompetitiveeconomy.dds,Assessores Economicos estao preocupados com a falta de competitividade das nossas empresas nos mercados globais.,Os problemas anteriores a falta de competitividade de nossas empresas ja diminuiu.,0,0.6,0.4,0,0,"_default_,0.8","CorporationTax,0+(0.3*x)","WorkerProductivity,0-(0.7*x)","ImportTarrifs,-0.1-(0.3*x)",#,"GDP,-0.06-(0.1*x)","Capitalist,-0.04-(0.06*x)",, ,,,,,
#,TechnologicalAdvantage,Vantagem Tecnologica,"Parece que o nosso pais e lider mundial em uma serie de grandes areas de ciencia e tecnologia. Esta e uma grande noticia para a nossa economia, uma vez que significa que temos uma grande vantagem sobre nossos concorrentes.",ECONOMY,sit_icons_technologicaladvantage.dds,Peritos de informa-lo que este pais tem uma vantagem tecnologica significativa sobre seus concorrentes menos experientes tecnologicamente.,"Relatorios recentes mostram que o nosso pais tenha perdido a sua borda tecnologica, e estamos agora ultrapassado em termos tecnologicos por outros paises. Este e susceptivel de causar um efeito negativo sobre o nosso PIB.",1,0.6,0.4,0,0,"_default_,0","TaxShelters,0.04+(0.3*x),5","Technology,0+(0.7*x)","StemCells,0+(0.06*x)","ScienceFunding,-0.1+(0.2*x),12","Creationism,0+(0.1*x)","SpaceProgram,0+(0.13*x)",#,"GDP,0.015+(0.02*x),4",,"WorkerProductivity,0.1+(0.05*x)","TechnologyBackwater,-1.0-(0*x)",,
#,HighProductivity,Alta Produtividade,"Nossa forca de trabalho sao extremamente produtiva, produzindo uma maior quantidade de praticamente tudo em comparacao com nossos concorrentes. Esta e uma grande noticia para o futuro da nossa economia.",ECONOMY,sit_icons_highproductivity.dds,"Analistas de negocios relatam que as nossas empresas sao altamente eficiente e produtiva, em comparacao com as nacoes concorrentes.","Produtividade dos nossos trabalhadores caiu e, infelizmente, nos nao sao mais consideradas como uma nacao com especialmente alta produtividade. As corporacoes globais podem repensar a criacao de fabricas aqui, e isso vai afetar negativamente a nossa economia.",1,0.6,0.4,0,0,"WorkerProductivity,0.95*(x^2)",#,"GDP,0.04+(0.03*x)","SelfEmployed,0+(0.1*x)","Capitalist,0+(0.1*x)","SelfEmployed_income,0+(0.08*x)",,,,,,,,
#,StreetGangs,Gangues de rua,"Gangues de rua sao uma visao cada vez mais comum nas ruas de nossas cidades. Embora nem todas as gangues de rua estao envolvidos em violencia, alguns sao, e nao deve ser algo que os nossos cidadaos adolescentes poderia estar fazendo em vez de vadiagem nas esquinas?",LAWANDORDER,sit_icons_streetgangs.dds,"Chefes de policia relata um novo problema significativo em termos de gangues de rua, muitas vezes relacionados com o crime violento.","Em uma recente conferencia de imprensa, o nosso Chefe de Policia foi feliz de informar que o problema anterior de gangues de rua esta agora sob controle, o que significa menos crime, e os cidadaos mais felizes.",0,0.6,0.4,500,0,"ArmedPolice,-0.1-(0.3*x)","CCTVCameras,-0.05-(0.05*x)","CommunityPolicing,-0.05-(0.1*x),4","PovertyRate,0+(0.78*x)","Unemployment,0.1+(0.5*x)","PoliceForce,-0.05-(0.17*x)","PoliceDrones,-0.1-(0.1*x)",#,"CrimeRate,0.12+(0.1*x)","Conservatives,-0.1-(0.1*x)","Retired,-0.1-(0.2*x)","_global_liberalism,-0.06-(0.03*x)","_All_,-0.05-(0.05*x)",
#,AntisocialBehaviour,Comportamento Anti-Social,"Vandalismo, perturbacao da ordem publica, pequenos crimes de rua, todos estes sao os resultados de um comportamento anti-social bocal, que tem se tornado comum em nossas ruas. Muitas vezes associada ao consumo de alcool, e nao ajudado por niveis insuficientes de policiais nas ruas, o comportamento anti-social provoca estresse para muitos de nossos cidadaos.",LAWANDORDER,sit_icons_antisocialbehaviour.dds,Chefes de policia e lideres comunitarios tem relatado um problema generalizado de comportamento anti-social.,Estatisticos de criminalidade tem o prazer de informar que a extensao do comportamento anti-social em nosso pais tem caido consideravelmente e ja nao e a principal causa de crime.,0,0.6,0.4,45,0,"_default_,0.8+(0*x)","CCTVCameras,0-(0.3*x)","PoliceForce,0-(0.6*x)","CommunityPolicing,-0.1-(0.25*x),4","AlcoholConsumption,0+(0.2*x)",#,"CrimeRate,0.1+(0.1*x)","Conservatives,-0.1-(0.4*x)",,"_global_liberalism,-0.06-(0.03*x)",,,,
#,GeneralStrike,Greve Geral,"Insatisfacao generalizada com o governo levou a sindicatos de chamar uma greve geral. Embora nem todos no pais esta retendo seu trabalho, uma serie de industrias-chave sao aleijados por esta greve, que sera desastroso tanto economica como politicamente.",ECONOMY,sit_icons_generalstrike.dds,"Uma greve geral foi chamado, com dezenas de milhares de nossos cidadaos a sair de seus postos de trabalho para protestar contra o governo. Isso pode prejudicar a nossa economia.","Felizmente, a greve geral foi cancelado e os nossos cidadaos estao retornando ao trabalho, esta e uma grande noticia para a economia!",0,0.6,0.4,1000,0,"_LowIncome,0.3-(0.6*x)","LabourLaws,0-(0.3*x)","PovertyRate,-0.2+(0.7*x)","Unemployment,0-(x^7)",#,"GDP,-0.3-(0.2*x)","Conservatives,-0.2-(0.3*x)",,,,,,,
#,TechnologyBackwater,Atraso Tecnologico,"Nossa industria e baseada demais em tecnologia antiga, e isso esta prejudicando a nossa competitividade no exterior, e afetando, portanto, o PIB ea riqueza paises. Precisamos fazer algum investimento serio em tecnologia e habilidades tecnologicas se quisermos levantar a nossa economia se para combinar nossos concorrentes.",ECONOMY,sit_icons_technologybackwater.dds,"Nossa economia esta desatualizado em termos de tecnologia, que esta a ter um efeito negativo sobre a nossa competitividade.","Otima noticia! O centro de tecnologia e negocios, anunciou que a nossa nacao nao e mais conhecida como sendo 'atrasada' em termos tecnologicos. Esta sera uma boa noticia para a economia, uma vez que abre oportunidades para o investimento em tecnologia.",0,0.6,0.4,0,0,"_default_,1.0","TaxShelters,0-(0.12*x),2","Technology,0-(0.7*x)","ScienceFunding,0-(0.34*x),16","StemCells,0-(0.12*x),12","Creationism,0.22-(0.22*x),12","SpaceProgram,0-(0.13*x)",#,"GDP,-0.02-(0.12*x)",,,,,
#,InnerCityRiots,Revoltas Urbanas,"Os cidadaos tem tomado a rua para expressar suas preocupacoes. Ha violentos protestos e motins que ocorrem em todo o pais. O custo de policiamento no curto prazo e extremamente elevado, mas a medio prazo este e um sinal de que seu governo se tornou altamente impopular com determinados grupos.",LAWANDORDER,sit_icons_innercityriots.dds,Revoltas eclodiram em nossas cidades do interior. Algo precisa ser feito para obter a situacao sob controle antes de nossas cidades em colapso na anarquia!,Os motins nos nossos centros urbanos foram colocados sob controle pela policia. Os nossos cidadaos possam viver livres das preocupacoes de violencia e saques em suas comunidades!,0,0.6,0.4,2000,0,"ArmedPolice,-0.3-(0.6*x)","CCTVCameras,-0.1(-0.6*x)","PovertyRate,0+(1.0*x)","CrimeRate,0+(0.15*x)","Unemployment,0+(0.25*x)",#,"Conservatives,-0.2-(0.3*x)","CrimeRate,0.04+(0.04*x),2",,,,,,
#,Organised Crime,Crime Organizado,"Grandes quadrilhas organizadas de criminosos graves sao agora alvo nosso pais. Nos nao temos os recursos para lidar com eles, e eles estao causando problemas graves, incluindo niveis mais altos de criminalidade de rua e crimes violentos, bem como fornecimento de drogas e armas.",LAWANDORDER,sit_icons_organisedcrime.dds,O departamento de crime grave. informou que agora temos um grande problema com o crime organizado.,"A policia agora rachou o problema com o crime organizado, e os senhores do crime ja estao atras das grades.",0,0.6,0.4,50,0,"_default_,0.75","IDCards,0-(0.1*x)","IntelligenceServices,0-(0.3*x)","PhoneTapping,0-(0.24*x)","Gambling,0+(0.45*x)","ArmedPolice,0-(0.17*x)","Narcotics,0-(0.15*x)","PoliceDrones,-0.1-(0.05*x)","LegaliseProstitution,-0.05-(0.1*x)",#,"CrimeRate,0.1+(0.2*x)","ViolentCrimeRate,0+(0.2*x)",,
